bus,Z10,Z11,Z11,Z11,Z12,Z12,Z12,Z13,Z13,Z13,Z14,Z14,Z14,Z15,Z15,Z15,Z16,Z16,Z16,Z17,Z17,Z17,Z1_1,Z1_2,Z1_3,Z1_4,Z1_4,Z1_4,Z2,Z2,Z2,Z3,Z3,Z3,Z4,Z5,Z5,Z5,Z6,Z6,Z6,Z7,Z7,Z7,Z8,Z8,Z8,Z9,Z9,Z9
carrier,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,load_shedding,load_shedding,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding,embedded_solar,embedded_wind,load_shedding
snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-01 00:00:00,0.0,0.0,0.47364864864864864,0.45877203912528813,0.0,0.47364864864864864,0.45877203912528813,0.0,0.4736486486486486,0.4587720391252881,0.0,0.47364864864864864,0.4587720391252882,0.0,0.47364864864864864,0.4587720391252882,0.0,0.47364864864864864,0.45877203912528813,0.0,0.47364864864864864,0.4587720391252882,0.0,0.0,0.0,0.0,0.47364864864864864,0.45877203912528813,0.0,0.4736486486486486,0.4587720391252881,0.0,0.47364864864864864,0.4587720391252882,0.0,0.0,0.4736486486486487,0.4587720391252882,0.0,0.47364864864864864,0.4587720391252882,0.0,0.47364864864864864,0.45877203912528813,0.0,0.47364864864864864,0.4587720391252882,0.0,0.47364864864864864,0.45877203912528813
2024-01-01 01:00:00,0.0,0.0,0.48445945945945945,0.46642992129254673,0.0,0.48445945945945945,0.4664299212925467,0.0,0.48445945945945945,0.4664299212925467,0.0,0.48445945945945945,0.4664299212925467,0.0,0.48445945945945945,0.46642992129254673,0.0,0.48445945945945945,0.46642992129254673,0.0,0.4844594594594595,0.4664299212925467,0.0,0.0,0.0,0.0,0.48445945945945945,0.46642992129254673,0.0,0.48445945945945945,0.4664299212925467,0.0,0.48445945945945945,0.4664299212925467,0.0,0.0,0.4844594594594594,0.46642992129254673,0.0,0.48445945945945945,0.4664299212925467,0.0,0.48445945945945945,0.4664299212925467,0.0,0.48445945945945945,0.46642992129254673,0.0,0.4844594594594595,0.4664299212925467
2024-01-01 02:00:00,0.0,0.0,0.49543918918918917,0.44143147882790273,0.0,0.49543918918918917,0.44143147882790273,0.0,0.49543918918918917,0.4414314788279027,0.0,0.4954391891891892,0.44143147882790273,0.0,0.49543918918918917,0.44143147882790285,0.0,0.49543918918918917,0.44143147882790273,0.0,0.4954391891891891,0.44143147882790273,0.0,0.0,0.0,0.0,0.49543918918918917,0.44143147882790273,0.0,0.49543918918918917,0.4414314788279027,0.0,0.49543918918918917,0.4414314788279028,0.0,0.0,0.4954391891891892,0.4414314788279028,0.0,0.49543918918918917,0.4414314788279028,0.0,0.49543918918918917,0.44143147882790273,0.0,0.49543918918918917,0.44143147882790285,0.0,0.49543918918918917,0.4414314788279028
2024-01-01 03:00:00,0.0,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.42258530101966646,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.4225853010196665,0.0,0.0,0.0,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.42258530101966646,0.0,0.5045608108108108,0.4225853010196665,0.0,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.42258530101966646,0.0,0.5045608108108108,0.4225853010196665,0.0,0.5045608108108108,0.4225853010196665
2024-01-01 04:00:00,0.0,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.41036730144885397,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.41036730144885397,0.0,0.0,0.0,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.41036730144885397,0.0,0.5067567567567568,0.410367301448854,0.0,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.410367301448854,0.0,0.5067567567567568,0.410367301448854
2024-01-01 05:00:00,0.0,0.0,0.4947635135135135,0.40749451401435705,0.0,0.4947635135135135,0.407494514014357,0.0,0.4947635135135135,0.407494514014357,0.0,0.4947635135135135,0.407494514014357,0.0,0.4947635135135135,0.40749451401435705,0.0,0.4947635135135135,0.40749451401435705,0.0,0.4947635135135135,0.407494514014357,0.0,0.0,0.0,0.0,0.4947635135135135,0.40749451401435705,0.0,0.4947635135135135,0.407494514014357,0.0,0.4947635135135135,0.40749451401435705,0.0,0.0,0.4947635135135135,0.40749451401435705,0.0,0.4947635135135135,0.40749451401435705,0.0,0.4947635135135135,0.407494514014357,0.0,0.4947635135135135,0.40749451401435705,0.0,0.4947635135135135,0.40749451401435705
2024-01-01 06:00:00,0.0,0.0,0.46773648648648647,0.41891643995874267,0.0,0.46773648648648647,0.4189164399587426,0.0,0.46773648648648647,0.4189164399587426,0.0,0.46773648648648647,0.41891643995874267,0.0,0.46773648648648647,0.4189164399587427,0.0,0.46773648648648647,0.41891643995874267,0.0,0.46773648648648647,0.4189164399587426,0.0,0.0,0.0,0.0,0.46773648648648647,0.41891643995874267,0.0,0.46773648648648647,0.4189164399587426,0.0,0.46773648648648647,0.41891643995874267,0.0,0.0,0.4677364864864865,0.41891643995874267,0.0,0.46773648648648647,0.41891643995874267,0.0,0.46773648648648647,0.4189164399587426,0.0,0.46773648648648647,0.4189164399587427,0.0,0.46773648648648647,0.4189164399587426
2024-01-01 07:00:00,0.0,0.0,0.43969594594594597,0.4239697768917133,0.0,0.43969594594594597,0.42396977689171317,0.0,0.439695945945946,0.4239697768917132,0.0,0.43969594594594597,0.4239697768917132,0.0,0.43969594594594597,0.4239697768917133,0.0,0.43969594594594597,0.4239697768917133,0.0,0.439695945945946,0.4239697768917132,0.0,0.0,0.0,0.0,0.43969594594594597,0.4239697768917133,0.0,0.439695945945946,0.4239697768917132,0.0,0.43969594594594597,0.4239697768917133,0.0,0.0,0.43969594594594597,0.4239697768917133,0.0,0.43969594594594597,0.4239697768917133,0.0,0.439695945945946,0.4239697768917132,0.0,0.43969594594594597,0.4239697768917133,0.0,0.4396959459459459,0.4239697768917132
2024-01-01 08:00:00,0.0,0.0,0.4135135135135135,0.44519552260502987,0.0,0.4135135135135135,0.44519552260502976,0.0,0.4135135135135135,0.44519552260502976,0.0,0.4135135135135135,0.4451955226050298,0.0,0.4135135135135135,0.4451955226050298,0.0,0.4135135135135135,0.44519552260502987,0.0,0.4135135135135135,0.44519552260502987,0.0,0.0,0.0,0.0,0.4135135135135135,0.44519552260502987,0.0,0.4135135135135135,0.44519552260502976,0.0,0.4135135135135135,0.44519552260502987,0.0,0.0,0.4135135135135135,0.44519552260502987,0.0,0.4135135135135135,0.44519552260502987,0.0,0.41351351351351345,0.4451955226050298,0.0,0.4135135135135135,0.4451955226050298,0.0,0.41351351351351356,0.4451955226050298
2024-01-01 09:00:00,0.0,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.37972972972972974,0.47713365037830796,0.07571734987239394,0.3797297297297297,0.477133650378308,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.0,0.0,0.0,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.3797297297297297,0.477133650378308,0.07571734987239394,0.3797297297297298,0.47713365037830807,0.0,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.3797297297297298,0.47713365037830807,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.37972972972972974,0.47713365037830807,0.07571734987239394,0.37972972972972974,0.477133650378308
2024-01-01 10:00:00,0.0,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900988,0.34290540540540543,0.5202860327151648,0.17730900714900985,0.34290540540540543,0.5202860327151648,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.0,0.0,0.0,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900988,0.34290540540540543,0.5202860327151648,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.0,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900985,0.34290540540540543,0.5202860327151648,0.17730900714900985,0.34290540540540543,0.5202860327151649,0.17730900714900985,0.34290540540540543,0.5202860327151648
2024-01-01 11:00:00,0.0,0.15228300468307296,0.3114864864864865,0.5445403193985837,0.15228300468307296,0.3114864864864864,0.5445403193985837,0.15228300468307293,0.31148648648648647,0.5445403193985837,0.15228300468307296,0.31148648648648647,0.5445403193985837,0.15228300468307296,0.31148648648648647,0.5445403193985838,0.15228300468307296,0.3114864864864865,0.5445403193985837,0.15228300468307296,0.31148648648648647,0.5445403193985837,0.0,0.0,0.0,0.15228300468307296,0.3114864864864865,0.5445403193985837,0.15228300468307293,0.31148648648648647,0.5445403193985837,0.15228300468307296,0.31148648648648647,0.5445403193985837,0.0,0.15228300468307296,0.31148648648648647,0.5445403193985837,0.15228300468307296,0.31148648648648647,0.5445403193985837,0.15228300468307296,0.31148648648648647,0.5445403193985836,0.15228300468307296,0.31148648648648647,0.5445403193985838,0.15228300468307296,0.31148648648648647,0.5445403193985837
2024-01-01 12:00:00,0.0,0.02505957609607164,0.2775337837837838,0.5618808796959692,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959692,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959692,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.0,0.0,0.0,0.02505957609607164,0.2775337837837838,0.5618808796959692,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.0,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959691,0.02505957609607164,0.2775337837837838,0.5618808796959691
2024-01-01 13:00:00,0.0,0.0,0.23783783783783785,0.5686215465979968,0.0,0.23783783783783785,0.5686215465979967,0.0,0.23783783783783785,0.5686215465979967,0.0,0.23783783783783788,0.5686215465979967,0.0,0.23783783783783785,0.5686215465979968,0.0,0.23783783783783785,0.5686215465979968,0.0,0.23783783783783785,0.5686215465979967,0.0,0.0,0.0,0.0,0.23783783783783785,0.5686215465979968,0.0,0.23783783783783785,0.5686215465979967,0.0,0.23783783783783785,0.5686215465979967,0.0,0.0,0.23783783783783785,0.5686215465979967,0.0,0.23783783783783785,0.5686215465979967,0.0,0.23783783783783785,0.5686215465979967,0.0,0.23783783783783785,0.5686215465979968,0.0,0.23783783783783785,0.5686215465979967
2024-01-01 14:00:00,0.0,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657993,0.0,0.2097972972972973,0.5686994233657993,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657993,0.0,0.0,0.0,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657993,0.0,0.2097972972972973,0.5686994233657994,0.0,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657993,0.0,0.2097972972972973,0.5686994233657994,0.0,0.2097972972972973,0.5686994233657993
2024-01-01 15:00:00,0.0,0.0,0.2079391891891892,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784887,0.0,0.20793918918918916,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784888,0.0,0.2079391891891892,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784887,0.0,0.0,0.0,0.0,0.2079391891891892,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784887,0.0,0.0,0.2079391891891892,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784887,0.0,0.2079391891891892,0.5891204424784886,0.0,0.2079391891891892,0.5891204424784888,0.0,0.2079391891891892,0.5891204424784887
