name,bus0,bus1,type,carrier,efficiency,active,build_year,lifetime,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_set,p_init,p_min_pu,p_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,marginal_cost,marginal_cost_quadratic,stand_by_cost,length,terrain_factor,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,delay,cyclic_delay,p_nom_opt,interconnector_name,counterparty_country,commissioning_year,source
H2_turbine_gen_H2_1030,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,43.65,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1031,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,6.206,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1032,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,2.116,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1033,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,106.774,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1034,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,27.579,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1035,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,9.405,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1036,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,1.512,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1037,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,8.362,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1038,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,28.563,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
H2_turbine_gen_H2_1039,GB_H2,Z10,,H2_turbine,0.5,True,0,inf,3.969,0.0,False,0.0,inf,,,,0.0,1.0,0.0,,,0.0,5.0,0.0,0.0,0.0,1.0,False,0.0,0.0,0,0,1,0,,,,,0,True,0.0,,,,
