bus,Z10,Z10,Z10,Z10,Z10,Z11,Z11,Z11,Z11,Z12,Z12,Z12,Z12,Z12,Z13,Z13,Z13,Z13,Z13,Z14,Z14,Z14,Z14,Z15,Z15,Z15,Z15,Z15,Z16,Z16,Z16,Z16,Z16,Z17,Z17,Z17,Z17,Z17,Z17,Z1_1,Z1_1,Z1_1,Z1_2,Z1_2,Z1_2,Z1_2,Z1_3,Z1_3,Z1_3,Z1_3,Z1_3,Z1_3,Z1_4,Z1_4,Z1_4,Z1_4,Z2,Z2,Z2,Z2,Z2,Z3,Z3,Z3,Z3,Z4,Z4,Z4,Z4,Z5,Z5,Z5,Z5,Z5,Z6,Z6,Z6,Z6,Z6,Z7,Z7,Z7,Z7,Z7,Z8,Z8,Z8,Z8,Z8,Z9,Z9,Z9,Z9,Z9
carrier,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,marine,solar_pv,wind_onshore,large_hydro,load_shedding,solar_pv,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,marine,solar_pv,wind_offshore,wind_onshore,load_shedding,marine,wind_onshore,large_hydro,load_shedding,solar_pv,wind_onshore,large_hydro,load_shedding,marine,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_onshore,large_hydro,load_shedding,solar_pv,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore,large_hydro,load_shedding,solar_pv,wind_offshore,wind_onshore
snapshot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035-01-01 00:00:00,0.4,0.0,0.0,0.29145447640367905,0.25098392323254654,0.39999999999999997,0.48696373221347605,0.0,0.25098392323254654,0.4,0.48696373221347605,0.0,0.291454476403679,0.2509839232325464,0.40000000000000013,0.4869637322134761,0.9380848118404348,0.0,0.2509839232325465,0.39999999999999997,0.4869637322134761,0.0,0.2509839232325465,0.39999999999999997,0.48696373221347605,0.0,0.29145447640367894,0.25098392323254654,0.40000000000000013,0.48696373221347605,0.0,0.291454476403679,0.2509839232325465,0.4,0.48696373221347605,0.9380848118404348,0.0,0.291454476403679,0.2509839232325465,0.0,0.9380848118404349,0.2509839232325465,0.4,0.0,0.0,0.2509839232325465,0.3999999999999999,0.0,0.9380848118404347,0.0,0.291454476403679,0.2509839232325464,0.3999999999999999,0.48696373221347605,0.0,0.2509839232325465,0.4000000000000001,0.4869637322134761,0.0,0.291454476403679,0.25098392323254654,0.4,0.48696373221347616,0.0,0.25098392323254654,0.4000000000000001,0.0,0.0,0.25098392323254654,0.39999999999999997,0.4869637322134761,0.0,0.291454476403679,0.2509839232325465,0.4,0.48696373221347616,0.0,0.291454476403679,0.25098392323254654,0.4,0.4869637322134761,0.0,0.291454476403679,0.2509839232325464,0.4000000000000002,0.48696373221347605,0.0,0.291454476403679,0.2509839232325465,0.39999999999999997,0.4869637322134761,0.0,0.291454476403679,0.2509839232325465
2035-01-01 01:00:00,0.4,0.0,0.0,0.32281670901862053,0.2515008441495328,0.39999999999999997,0.47914576416112425,0.0,0.25150084414953283,0.4,0.4791457641611243,0.0,0.3228167090186204,0.25150084414953267,0.40000000000000013,0.47914576416112437,0.8944574668111235,0.0,0.2515008441495328,0.39999999999999997,0.47914576416112425,0.0,0.2515008441495327,0.39999999999999997,0.4791457641611243,0.0,0.3228167090186205,0.2515008441495328,0.40000000000000013,0.47914576416112425,0.0,0.3228167090186205,0.2515008441495327,0.4,0.47914576416112425,0.8944574668111235,0.0,0.3228167090186205,0.25150084414953283,0.0,0.8944574668111235,0.2515008441495327,0.4,0.0,0.0,0.2515008441495327,0.3999999999999999,0.0,0.8944574668111235,0.0,0.3228167090186205,0.25150084414953267,0.3999999999999999,0.47914576416112425,0.0,0.25150084414953267,0.4000000000000001,0.47914576416112437,0.0,0.3228167090186205,0.2515008441495328,0.4,0.47914576416112437,0.0,0.2515008441495328,0.4000000000000001,0.0,0.0,0.2515008441495327,0.39999999999999997,0.4791457641611243,0.0,0.3228167090186205,0.2515008441495327,0.4,0.47914576416112437,0.0,0.3228167090186205,0.2515008441495327,0.4,0.47914576416112437,0.0,0.3228167090186205,0.2515008441495326,0.4000000000000002,0.4791457641611243,0.0,0.3228167090186205,0.2515008441495328,0.39999999999999997,0.47914576416112437,0.0,0.3228167090186205,0.25150084414953267
2035-01-01 02:00:00,0.4,0.0,0.0,0.33766061225024974,0.2581545837106909,0.39999999999999997,0.4568641242324255,0.0,0.25815458371069094,0.4,0.4568641242324255,0.0,0.3376606122502498,0.25815458371069083,0.40000000000000013,0.45686412423242556,0.6697617359174143,0.0,0.25815458371069083,0.39999999999999997,0.4568641242324255,0.0,0.2581545837106909,0.39999999999999997,0.45686412423242556,0.0,0.33766061225024974,0.2581545837106909,0.40000000000000013,0.4568641242324255,0.0,0.33766061225024974,0.2581545837106909,0.4,0.4568641242324255,0.6697617359174143,0.0,0.33766061225024974,0.25815458371069083,0.0,0.6697617359174143,0.25815458371069083,0.4,0.0,0.0,0.25815458371069083,0.3999999999999999,0.0,0.6697617359174143,0.0,0.33766061225024974,0.2581545837106908,0.3999999999999999,0.4568641242324255,0.0,0.25815458371069083,0.4000000000000001,0.45686412423242556,0.0,0.33766061225024985,0.25815458371069083,0.4,0.45686412423242556,0.0,0.25815458371069083,0.4000000000000001,0.0,0.0,0.2581545837106908,0.39999999999999997,0.4568641242324255,0.0,0.33766061225024974,0.25815458371069083,0.4,0.45686412423242556,0.0,0.33766061225024974,0.2581545837106909,0.4,0.45686412423242556,0.0,0.33766061225024974,0.25815458371069094,0.4000000000000002,0.45686412423242556,0.0,0.33766061225024974,0.25815458371069094,0.39999999999999997,0.45686412423242556,0.0,0.33766061225024974,0.2581545837106909
2035-01-01 03:00:00,0.4,0.0,0.0,0.3226896909763371,0.2628236471289816,0.39999999999999997,0.44458982819433407,0.0,0.26282364712898154,0.4,0.44458982819433407,0.0,0.3226896909763371,0.26282364712898154,0.40000000000000013,0.4445898281943342,0.1566719335363543,0.0,0.2628236471289815,0.39999999999999997,0.444589828194334,0.0,0.2628236471289816,0.39999999999999997,0.4445898281943341,0.0,0.32268969097633704,0.26282364712898154,0.40000000000000013,0.44458982819433407,0.0,0.3226896909763371,0.26282364712898154,0.4,0.44458982819433407,0.1566719335363543,0.0,0.3226896909763371,0.2628236471289815,0.0,0.1566719335363543,0.26282364712898154,0.4,0.0,0.0,0.2628236471289815,0.3999999999999999,0.0,0.1566719335363543,0.0,0.3226896909763371,0.2628236471289815,0.3999999999999999,0.44458982819433407,0.0,0.2628236471289815,0.4000000000000001,0.4445898281943342,0.0,0.32268969097633715,0.2628236471289815,0.4,0.4445898281943341,0.0,0.26282364712898154,0.4000000000000001,0.0,0.0,0.2628236471289816,0.39999999999999997,0.44458982819433407,0.0,0.3226896909763371,0.26282364712898154,0.4,0.4445898281943341,0.0,0.3226896909763371,0.26282364712898154,0.4,0.4445898281943341,0.0,0.3226896909763371,0.26282364712898143,0.4000000000000002,0.4445898281943341,0.0,0.3226896909763371,0.26282364712898154,0.39999999999999997,0.4445898281943341,0.0,0.3226896909763371,0.2628236471289816
2035-01-01 04:00:00,0.4,0.0,0.0,0.31286022112873074,0.2794805487705371,0.39999999999999997,0.4256698283322474,0.0,0.2794805487705371,0.4,0.4256698283322475,0.0,0.31286022112873074,0.27948054877053696,0.40000000000000013,0.42566982833224754,0.0,0.0,0.279480548770537,0.39999999999999997,0.4256698283322474,0.0,0.279480548770537,0.39999999999999997,0.4256698283322474,0.0,0.3128602211287307,0.27948054877053713,0.40000000000000013,0.4256698283322474,0.0,0.3128602211287307,0.2794805487705371,0.4,0.4256698283322474,0.0,0.0,0.3128602211287307,0.27948054877053696,0.0,0.0,0.279480548770537,0.4,0.0,0.0,0.27948054877053696,0.3999999999999999,0.0,0.0,0.0,0.3128602211287307,0.279480548770537,0.3999999999999999,0.4256698283322474,0.0,0.27948054877053696,0.4000000000000001,0.42566982833224754,0.0,0.3128602211287307,0.2794805487705371,0.4,0.4256698283322475,0.0,0.2794805487705371,0.4000000000000001,0.0,0.0,0.279480548770537,0.39999999999999997,0.4256698283322474,0.0,0.3128602211287307,0.2794805487705371,0.4,0.4256698283322475,0.0,0.3128602211287307,0.279480548770537,0.4,0.4256698283322475,0.0,0.3128602211287307,0.279480548770537,0.4000000000000002,0.4256698283322474,0.0,0.3128602211287307,0.2794805487705371,0.39999999999999997,0.4256698283322475,0.0,0.3128602211287307,0.2794805487705371
2035-01-01 05:00:00,0.4,0.0,0.0,0.2963979972039925,0.29991364918219715,0.39999999999999997,0.4302985481162752,0.0,0.29991364918219715,0.4,0.43029854811627516,0.0,0.2963979972039925,0.29991364918219704,0.40000000000000013,0.4302985481162752,0.15947526545864416,0.0,0.29991364918219704,0.39999999999999997,0.43029854811627516,0.0,0.29991364918219715,0.39999999999999997,0.4302985481162752,0.0,0.2963979972039925,0.29991364918219715,0.40000000000000013,0.4302985481162752,0.0,0.2963979972039925,0.2999136491821971,0.4,0.43029854811627516,0.15947526545864416,0.0,0.2963979972039925,0.2999136491821971,0.0,0.15947526545864418,0.2999136491821971,0.4,0.0,0.0,0.2999136491821971,0.3999999999999999,0.0,0.15947526545864416,0.0,0.2963979972039925,0.29991364918219704,0.3999999999999999,0.4302985481162752,0.0,0.29991364918219715,0.4000000000000001,0.4302985481162752,0.0,0.29639799720399257,0.29991364918219715,0.4,0.43029854811627516,0.0,0.2999136491821971,0.4000000000000001,0.0,0.0,0.2999136491821971,0.39999999999999997,0.4302985481162752,0.0,0.2963979972039925,0.29991364918219704,0.4,0.43029854811627516,0.0,0.2963979972039925,0.29991364918219704,0.4,0.43029854811627516,0.0,0.2963979972039925,0.2999136491821971,0.4000000000000002,0.4302985481162752,0.0,0.2963979972039925,0.29991364918219715,0.39999999999999997,0.4302985481162752,0.0,0.2963979972039925,0.29991364918219715
2035-01-01 06:00:00,0.4,0.0,0.0,0.27694920351920227,0.31475160489650117,0.39999999999999997,0.44889962315152915,0.0,0.3147516048965012,0.4,0.44889962315152915,0.0,0.27694920351920227,0.3147516048965011,0.40000000000000013,0.4488996231515292,0.6142799942870731,0.0,0.3147516048965011,0.39999999999999997,0.44889962315152915,0.0,0.3147516048965011,0.39999999999999997,0.4488996231515292,0.0,0.2769492035192022,0.3147516048965011,0.40000000000000013,0.44889962315152915,0.0,0.27694920351920227,0.3147516048965011,0.4,0.44889962315152915,0.6142799942870731,0.0,0.27694920351920227,0.31475160489650106,0.0,0.6142799942870731,0.3147516048965011,0.4,0.0,0.0,0.31475160489650106,0.3999999999999999,0.0,0.6142799942870731,0.0,0.27694920351920227,0.31475160489650106,0.3999999999999999,0.44889962315152915,0.0,0.3147516048965011,0.4000000000000001,0.4488996231515292,0.0,0.27694920351920227,0.3147516048965011,0.4,0.4488996231515292,0.0,0.31475160489650106,0.4000000000000001,0.0,0.0,0.3147516048965011,0.39999999999999997,0.4488996231515292,0.0,0.27694920351920227,0.31475160489650106,0.4,0.4488996231515292,0.0,0.27694920351920227,0.31475160489650117,0.4,0.44889962315152926,0.0,0.2769492035192022,0.31475160489650106,0.4000000000000002,0.4488996231515292,0.0,0.27694920351920227,0.3147516048965011,0.39999999999999997,0.44889962315152926,0.0,0.2769492035192022,0.3147516048965011
2035-01-01 07:00:00,0.4,0.0,0.0,0.2690399959649845,0.3268206436883344,0.39999999999999997,0.4539938007909334,0.0,0.3268206436883344,0.4,0.45399380079093343,0.0,0.2690399959649845,0.32682064368833424,0.40000000000000013,0.4539938007909335,0.7209445862299765,0.0,0.3268206436883343,0.39999999999999997,0.45399380079093343,0.0,0.32682064368833436,0.39999999999999997,0.45399380079093343,0.0,0.26903999596498446,0.32682064368833436,0.40000000000000013,0.4539938007909334,0.0,0.26903999596498446,0.32682064368833436,0.4,0.45399380079093343,0.7209445862299766,0.0,0.26903999596498446,0.3268206436883343,0.0,0.7209445862299766,0.3268206436883343,0.4,0.0,0.0,0.32682064368833424,0.3999999999999999,0.0,0.7209445862299766,0.0,0.26903999596498446,0.32682064368833424,0.3999999999999999,0.4539938007909334,0.0,0.32682064368833424,0.4000000000000001,0.4539938007909335,0.0,0.2690399959649845,0.3268206436883343,0.4,0.4539938007909335,0.0,0.32682064368833436,0.4000000000000001,0.0,0.0,0.32682064368833436,0.39999999999999997,0.45399380079093343,0.0,0.26903999596498446,0.32682064368833424,0.4,0.4539938007909335,0.0,0.26903999596498446,0.32682064368833436,0.4,0.4539938007909335,0.0,0.26903999596498446,0.3268206436883343,0.4000000000000002,0.45399380079093343,0.0,0.26903999596498446,0.3268206436883344,0.39999999999999997,0.4539938007909335,0.0,0.26903999596498446,0.3268206436883344
