name,bus,carrier,p_nom,FOR,MTTF_hours,MTTR_hours
South_Beach_Wind_Turbine_Somerton,Z12,wind_onshore,1.5,0.01399825021872266,3381,48
Swaffham_1___Ecotech_Wind_Park,Z12,wind_onshore,1.5,0.01399825021872266,3381,48
Mynydd_Gorddu_Wind_Farm,Z13,wind_onshore,10.2,0.01399825021872266,3381,48
Cefn_Croes_Wind_Farm,Z13,wind_onshore,58.5,0.01399825021872266,3381,48
Carno_'B'_Wind_Farm,Z13,wind_onshore,16.8,0.01399825021872266,3381,48
Carno_'A'_Wind_Farm,Z13,wind_onshore,16.8,0.01399825021872266,3381,48
Cemmaes_'B'_Wind_Farm,Z9,wind_onshore,3.4,0.01399825021872266,3381,48
Trysglwyn_Wind_Farm,Z9,wind_onshore,5.6,0.01399825021872266,3381,48
Hafoty_Ucha_'2'_and_'3'_Wind_Turbine,Z9,wind_onshore,2.6,0.01399825021872266,3381,48
Royal_Seaforth_Dock_Wind_Farm,Z9,wind_onshore,3.0,0.01399825021872266,3381,48
Cemmaes_'C'_Wind_Farm,Z9,wind_onshore,15.3,0.01399825021872266,3381,48
Llanbabo_Wind_Farm,Z9,wind_onshore,20.4,0.01399825021872266,3381,48
Tow_Law_Wind_Farm,Z7,wind_onshore,2.6,0.01399825021872266,3381,48
Kirkheaton_Wind_Farm,Z7,wind_onshore,1.8,0.01399825021872266,3381,48
Great_Eppleton_Wind_Farm,Z7,wind_onshore,3.0,0.01399825021872266,3381,48
Great_Orton_Wind_Farm_Extension,Z6,wind_onshore,2.3,0.01399825021872266,3381,48
Harlock_Hill_Wind_Farm,Z9,wind_onshore,2.5,0.01399825021872266,3381,48
Wharrels_Hill_Wind_Farm,Z6,wind_onshore,10.4,0.01399825021872266,3381,48
Siddick_Wind_Farm,Z6,wind_onshore,4.2,0.01399825021872266,3381,48
Oldside_Wind_Farm,Z6,wind_onshore,5.4,0.01399825021872266,3381,48
Haverigg_Extension_Wind_Farm,Z9,wind_onshore,2.4,0.01399825021872266,3381,48
Blaen_Bowi_Wind_Farm,Z13,wind_onshore,3.9,0.01399825021872266,3381,48
Parc_Cynog_Wind_Farm,Z13,wind_onshore,3.6,0.01399825021872266,3381,48
Moel_Maelogen_A,Z9,wind_onshore,2.6,0.01399825021872266,3381,48
Out_Newton_Wind_Farm,Z10,wind_onshore,9.0,0.01399825021872266,3381,48
Brockholes_Wind_Cluster,Z5,wind_onshore,2.4,0.01399825021872266,3381,48
Kilbraur_Windfarm_Farlary___Extension,Z1_3,wind_onshore,20.0,0.01399825021872266,3381,48
Maesgwyn,Z13,wind_onshore,26.0,0.01399825021872266,3381,48
Spicer_Hill_Wind_Farm,Z8,wind_onshore,6.9,0.01399825021872266,3381,48
Ford_Motor_Company_Ltd_Extension,Z14,wind_onshore,2.0,0.01399825021872266,3381,48
FMC_Technologies,Z5,wind_onshore,1.5,0.01399825021872266,3381,48
Boyndie_Airfield_Extension,Z2,wind_onshore,2.3,0.01399825021872266,3381,48
Blue_Gates_Farm,Z12,wind_onshore,1.5,0.01399825021872266,3381,48
Celcon_Blocks_Ltd,Z8,wind_onshore,2.0,0.01399825021872266,3381,48
Hammar's_Hill,Z1_3,wind_onshore,4.3,0.01399825021872266,3381,48
"F_M_C_Land,_Pitreavie_Business_Park",Z5,wind_onshore,1.5,0.01399825021872266,3381,48
Strath_of_Brydock___Extension,Z2,wind_onshore,2.3,0.01399825021872266,3381,48
Hare_Hill_East_Ayrshire,Z6,wind_onshore,13.2,0.01399825021872266,3381,48
