name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt,lon,lat,cfd_round,ro_banding,data_source,region
Siddick_Wind_Farm,Z6,PQ,,4.2,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.5429564927528663,54.674133010826814,,,,
Oldside_Wind_Farm,Z6,PQ,,5.4,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.556357568792844,54.65958139538065,,,,
Haverigg_Extension_Wind_Farm,Z9,PQ,,2.4,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.3245323353790672,54.20396305287439,,,,
Blaen_Bowi_Wind_Farm,Z13,PQ,,3.9,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.4412757805357685,51.99712314636031,,,,
Parc_Cynog_Wind_Farm,Z13,PQ,,3.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.529734772202159,51.756939346989995,,,,
Moel_Maelogen_A,Z9,PQ,,2.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.724979646771662,53.13635781185097,,,,
Out_Newton_Wind_Farm,Z10,PQ,,9.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,0.0994374213870657,53.66887756657693,,,,
Brockholes_Wind_Cluster,Z5,PQ,,2.4,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.287913249681233,55.866594645336406,,,,
Kilbraur_Windfarm_Farlary___Extension,Z1_3,PQ,,20.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.9786664524219177,57.992370140272115,,,,
Maesgwyn,Z13,PQ,,26.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.659567417332033,51.736480345044214,,,,
Spicer_Hill_Wind_Farm,Z8,PQ,,6.9,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.6921638774611392,53.5367701780345,,,,
Ford_Motor_Company_Ltd_Extension,Z14,PQ,,2.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,0.1504770402992552,51.528680058588186,,,,
FMC_Technologies,Z5,PQ,,1.5,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.4465911775094114,56.056437486923954,,,,
Boyndie_Airfield_Extension,Z2,PQ,,2.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.6518221361096086,57.66064901974823,,,,
Blue_Gates_Farm,Z12,PQ,,1.5,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,1.00424476694538,51.863100717689015,,,,
Celcon_Blocks_Ltd,Z8,PQ,,2.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.08413672320777,53.6769862456044,,,,
Hammar's_Hill,Z1_3,PQ,,4.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.07266817650347,59.09573023120625,,,,
"F_M_C_Land,_Pitreavie_Business_Park",Z5,PQ,,1.5,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.4443312835161546,56.05397501418047,,,,
Strath_of_Brydock___Extension,Z2,PQ,,2.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.5811328751804594,57.62615094117643,,,,
Hare_Hill_East_Ayrshire,Z6,PQ,,13.2,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.126272410052533,55.36280782322995,,,,
Kirkby_Moor,Z7,PQ,,4.8,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.135726083740201,54.257499330378174,,,,
Bambers_II,Z10,PQ,,4.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,0.2384244261414849,53.321310494728216,,,,
Millennium_Extension_II,Z1_4,PQ,,15.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.883633916148854,57.15520878950119,,,,
Cairnmore_Farm,Z2,PQ,,2.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.813709655939443,57.31526361591429,,,,
St_Fergus_Moss_Wind_Farm,Z2,PQ,,6.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.9111161787401472,57.57196452500241,,,,
"West_Hill,_Flotta",Z1_3,PQ,,2.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.1230984483530646,58.826958248106344,,,,
Chelker_Reservoir_Retention_of_Turbines,Z8,PQ,,1.2,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.9141583483376792,53.96244661051643,,,,
Whitelee_Windfarm_Extension_phase_2,Z5,PQ,,109.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.317616038967669,55.639426024209854,,,,
Hill_of_Balquhindachy_extension,Z2,PQ,,1.7,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.2410455710730077,57.47235497737665,,,,
Taff_Ely_Wind_Farm,Z13,PQ,,9.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.4648259200015095,51.569392389167255,,,,
Mossmorran_Wind_Farm,Z5,PQ,,4.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.3176980818986315,56.09051530823557,,,,
Courtstone_Wind_Turbine,Z2,PQ,,2.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.2609636302573897,57.39196550109472,,,,
Lairg_Wind_Farm,Z1_3,PQ,,7.5,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.348703333835534,58.002712868005744,,,,
G24_Innovations_Turbine,Z13,PQ,,2.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.1042238138282023,51.50666287138737,,,,
Mornflake_Oats_Wind_Turbine,Z2,PQ,,2.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.6461598922193006,57.659842712162465,,,,
Clochnahill_Wind_Farm,Z2,PQ,,5.2,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.290616320391334,56.93346174150305,,,,
St_John_Hill,Z2,PQ,,7.7,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.2724319151155967,56.89353605387347,,,,
Bryn_Blaen_Wind_Farm,Z13,PQ,,13.8,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.594278067288051,52.419572468288976,,,,
MARCH_SEWAGE_TREATMENT_WORKS___WIND_TURBINE,Z12,PQ,,2.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,0.1214962478983926,52.57135660835522,,,,
Burnfoot_Hill,Z3,PQ,,26.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.772778936838354,56.20910336971593,,,,
Chelker_Reservoir,Z8,PQ,,1.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.9141583483376792,53.96244661051643,,,,
Strath_of_Brydock,Z2,PQ,,4.6,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.5811328751804594,57.62615094117643,,,,
House_O'Hill,Z2,PQ,,5.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-2.0425148634019243,57.62191201406043,,,,
Bagmoor,Z8,PQ,,16.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-0.6672027087976353,53.62772598238222,,,,
Croda_Chemicals_Europe,Z8,PQ,,3.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.007211653725228,53.68235141482124,,,,
"Eastman_Chemicals,_Workington",Z6,PQ,,4.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-3.5401298482855297,54.671158096730984,,,,
Lindhurst_Wind_Farm,Z10,PQ,,15.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.1515994694947531,53.11752235494241,,,,
Craigengelt,Z5,PQ,,20.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.049655472865999,56.05425301306301,,,,
Saltend_Wind_Turbine,Z8,PQ,,1.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-0.236493541949484,53.74441096801642,,,,
Loftsome_Bridge,Z8,PQ,,1.3,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-0.9376583398655712,53.75680953842491,,,,
Nissan_Wind_Farm,Z7,PQ,,4.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-1.4807731931588497,54.91389438506246,,,,
Parc_Cynog_Extension,Z13,PQ,,8.4,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,-4.5337734784461015,51.7591905831651,,,,
Ranson_Moor_phase_1,Z12,PQ,,6.0,0.0,False,0.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,wind_onshore,0.0,0.0,True,0,inf,0.0,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0,0.0313955171690885,52.51268639302726,,,,
