name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,q_set,p_dispatch_set,p_store_set,sign,carrier,spill_cost,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge,cyclic_state_of_charge_per_period,max_hours,efficiency_store,efficiency_dispatch,standing_loss,inflow,p_nom_opt,lon,lat
FES_Battery_Boat_of_Garten_2035_99,Z2,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Braco_West_2035_100,Z3,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-4.05,56.442
FES_Battery_Burghmuir_2035_101,Z3,PQ,,1.366,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,1.366,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-4.05,56.442
FES_Battery_Charleston_2035_102,Z3,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-4.05,56.442
FES_Battery_Coupar_Angus_2035_103,Z3,PQ,,40.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,40.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-4.05,56.442
FES_Battery_Dunoon_2035_104,Z4,PQ,,45.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,45.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-5.675,55.779
FES_Battery_Dyce_2035_105,Z2,PQ,,50.622,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,50.622,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Fort_Augustus_2035_106,Z1_4,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-5.2,57.119
FES_Battery_Fraserburgh_2035_107,Z2,PQ,,86.0,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,86.0,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
FES_Battery_Keith_2035_108,Z2,PQ,,49.9,0.0,False,0.0,inf,,-1.0,1.0,,0.0,,,1.0,Battery,0.0,0.0,0.0,0.0,0.0,,,0.0,True,0,inf,49.9,False,,False,False,2.0,0.92,0.92,0.001,0.0,0.0,-3.173,57.182
